id	org	files	has_meta	has_r	usable
GSE154759	Homo sapiens	H5AD, TSV	FALSE	FALSE	FALSE
GSE150861	Homo sapiens	CSV, MTX, TSV	FALSE	FALSE	FALSE
GSE150430	Homo sapiens	TXT	FALSE	FALSE	FALSE
GSE154600	Homo sapiens	MTX, TSV	FALSE	FALSE	FALSE
GSE150660	Homo sapiens	CSV, H5AD	FALSE	FALSE	FALSE
GSE147143	Homo sapiens	H5AD	FALSE	FALSE	FALSE
GSE147047	Homo sapiens	MTX, TSV	FALSE	FALSE	FALSE
GSE137620	Homo sapiens	MTX, TSV	FALSE	FALSE	FALSE
GSE125527	Homo sapiens	TSV	FALSE	FALSE	FALSE
GSE152685	Homo sapiens	MTX, TSV	FALSE	FALSE	FALSE
GSE141026	Homo sapiens	RDS	FALSE	TRUE	TRUE
GSE154359	Homo sapiens	MTX, TSV	FALSE	FALSE	FALSE
GSE154358	Homo sapiens	MTX, TSV	FALSE	FALSE	FALSE
GSE154356	Homo sapiens	MTX, TSV	FALSE	FALSE	FALSE
GSE154178	Homo sapiens	BIGWIG, BW, MTX, TSV	FALSE	FALSE	FALSE
GSE118487	Homo sapiens	MTX, TSV	FALSE	FALSE	FALSE
GSE145013	Homo sapiens	RDA, TXT	TRUE	TRUE	TRUE
GSE142745	Homo sapiens	MTX, TSV, TXT	FALSE	FALSE	FALSE
GSE142744	Homo sapiens	MTX, TSV	FALSE	FALSE	FALSE
GSE141460	Homo sapiens	TXT	FALSE	FALSE	FALSE
GSE132164	Homo sapiens	CSV	FALSE	FALSE	FALSE
GSE135851	Homo sapiens	TAR	FALSE	FALSE	FALSE
GSE151263	Homo sapiens	TXT	FALSE	FALSE	FALSE
GSE148506	Homo sapiens	TXT	TRUE	FALSE	TRUE
GSE148504	Homo sapiens	CSV, MTX, TSV	FALSE	FALSE	FALSE
GSE134432	Homo sapiens	BW, TSV	FALSE	FALSE	FALSE
GSE146147	Homo sapiens	TXT	FALSE	FALSE	FALSE
GSE143706	Homo sapiens	H5	FALSE	FALSE	FALSE
GSE143705	Homo sapiens	CSV, TXT	FALSE	FALSE	FALSE
GSE153958	Homo sapiens	ZIP	FALSE	FALSE	FALSE
